marketCap,trailingPE,beta,vol_30d,ret_1m,environment_score,social_score,governance_score,marketCap_log,sector
294531727360.0,17.691338,0.607,0.0167842351224827,0.0263479347922954,60.0,60.0,60.0,26.408652567209806,Utilities
94448394240.0,43.718452,0.141,0.0313605716827317,0.1493883259725414,60.0,60.0,60.0,25.27131942959536,Technology
36550213632.0,301.9684,0.117,0.0299303106191952,-0.0953698327958394,50.0,50.0,50.0,24.321952868077236,Technology
458054369280.0,62.127117,,0.0159296883406563,-0.0404450453572836,60.0,60.0,60.0,26.85025372423562,Consumer Cyclical
71256858624.0,12.17945,0.117,0.0218023099766709,0.1731251002860161,60.0,65.0,70.0,24.989556912865847,Financial Services
556295258112.0,99.71091,0.15,0.0162529356302069,-0.0246160088869131,60.0,60.0,60.0,27.044565030016855,Industrials
746532416.0,,-0.096,0.018447944603194,-0.0398836350911581,40.0,40.0,40.0,20.43094959931882,Consumer Cyclical
375552672.0,,0.423,0.046053407659342,-0.1303241765237266,40.0,40.0,40.0,19.743909293631877,Consumer Cyclical
489501949952.0,36.846306,0.245,0.0276200276307577,-0.0618236319366591,60.0,60.0,60.0,26.916654282469818,Consumer Defensive
101322113024.0,53.414333,0.235,0.0229754670606797,0.1269551350251618,60.0,60.0,60.0,25.34157051682689,Industrials
1112516864.0,,0.196,0.0105223700862932,-0.0404318010190055,40.0,40.0,40.0,20.829890731440326,Basic Materials
11353177088.0,24.464561,,0.045067833775146,0.3533887515478841,50.0,50.0,50.0,23.152763461439285,Healthcare
6056305664.0,29.380117,0.357,0.0127195992985087,-0.0405499730452985,50.0,50.0,50.0,22.52436582489238,Consumer Cyclical
83949649920.0,59.916744,0.14,0.0204721134581116,0.0423878171273672,60.0,60.0,60.0,25.15348305037193,Consumer Defensive
37136637952.0,34.307518,,0.0223036850750065,0.0123859195638109,50.0,50.0,50.0,24.337869865160105,Basic Materials
969746880.0,30.447475,0.06,0.0402226341735422,0.2032378277108484,40.0,40.0,40.0,20.692545647986318,Consumer Cyclical
156097888.0,,-0.15,0.0279340118181487,-0.0319148632615547,40.0,40.0,40.0,18.86599386201177,Technology
4128924416.0,30.279522,0.3,0.0170340309322757,0.0297377290932019,40.0,40.0,40.0,22.141282778281994,Energy
73300115456.0,174.67345,,0.0181497535262108,-0.0405771870403448,60.0,60.0,60.0,25.017828020967382,Consumer Cyclical
16077441024.0,15.113318,0.962,0.0154464207933476,0.0299417308978808,50.0,50.0,50.0,23.50068294779676,Healthcare
30526879744.0,32.91892,0.015,0.0154448414529191,0.0095595718399164,50.0,50.0,50.0,24.14187343555496,Basic Materials
